do_mgl
10.75
10.76
10.29
10.73
10.65
10.71
10.62
10.52
10.54
10.53
10.56
10.67
10.55
10.41
10.61
10.83
10.49
10.47
10.33
10.51
10.63
10.56
10.68
10.62
10.61
